Date : 2026-07-19 11:41:47
Directory : /Users/tau/Git/Hacks/auth-scope
Total : 157 files,  30196 codes, 145 comments, 3487 blanks, all 33828 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| frontend/src/features/workbench                                                                       |          1 |         12 |          0 |          2 |         14 |
| frontend/src/shared                                                                                   |         17 |      3,526 |         73 |        126 |      3,725 |
| frontend/src/shared/api                                                                               |          4 |      3,062 |         73 |         74 |      3,209 |
| frontend/src/shared/auth                                                                              |          2 |         84 |          0 |         13 |         97 |
| frontend/src/shared/components                                                                        |          9 |        338 |          0 |         30 |        368 |
| frontend/src/shared/formatting                                                                        |          2 |         42 |          0 |          9 |         51 |
| frontend/src/testing                                                                                  |          1 |         29 |          0 |          8 |         37 |
| internal                                                                                              |         80 |     16,394 |         71 |      1,596 |     18,061 |
| internal/mission                                                                                      |         80 |     16,394 |         71 |      1,596 |     18,061 |
| internal/mission (Files)                                                                              |         50 |     10,966 |          5 |      1,004 |     11,975 |
| internal/mission/integrations                                                                         |          7 |      1,476 |          0 |        129 |      1,605 |
| internal/mission/integrations/github                                                                  |          3 |        766 |          0 |         64 |        830 |
| internal/mission/integrations/okta                                                                    |          4 |        710 |          0 |         65 |        775 |
| internal/mission/store                                                                                |         23 |      3,952 |         66 |        463 |      4,481 |
| internal/mission/store (Files)                                                                        |          5 |      3,701 |         63 |        420 |      4,184 |
| internal/mission/store/migrations                                                                     |         18 |        251 |          3 |         43 |        297 |
| openapi                                                                                               |          1 |      1,177 |          0 |          1 |      1,178 |
| samples                                                                                               |          5 |      1,119 |          0 |        154 |      1,273 |
| samples (Files)                                                                                       |          1 |          9 |          0 |          7 |         16 |
| samples/governed-coding-agent-workbench                                                               |          4 |      1,110 |          0 |        147 |      1,257 |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                              | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/tau/Git/Hacks/auth-scope/.github/workflows/ci.yml                                              | YAML               |         64 |          0 |          5 |         69 |
| /Users/tau/Git/Hacks/auth-scope/Dockerfile                                                            | Docker             |         19 |          1 |         13 |         33 |
| /Users/tau/Git/Hacks/auth-scope/README.md                                                             | Markdown           |        466 |          0 |         99 |        565 |
| /Users/tau/Git/Hacks/auth-scope/cmd/auth-scope/main.go                                                | Go                 |         91 |          0 |         14 |        105 |
| /Users/tau/Git/Hacks/auth-scope/demo/MANUAL_DEMO_SCRIPT.md                                            | Markdown           |        281 |          0 |        163 |        444 |
| /Users/tau/Git/Hacks/auth-scope/demo/README.md                                                        | Markdown           |         53 |          0 |         24 |         77 |
| /Users/tau/Git/Hacks/auth-scope/demo/lib/auth-scope-demo.mjs                                          | JavaScript         |        200 |          0 |         27 |        227 |
| /Users/tau/Git/Hacks/auth-scope/demo/mock-data/mission-authority-scenario.json                        | JSON               |        171 |          0 |          1 |        172 |
| /Users/tau/Git/Hacks/auth-scope/demo/playwright.config.mjs                                            | JavaScript         |         21 |          0 |          1 |         22 |
| /Users/tau/Git/Hacks/auth-scope/demo/playwright/mission-authority-demo.spec.mjs                       | JavaScript         |        218 |          0 |         29 |        247 |
| /Users/tau/Git/Hacks/auth-scope/demo/run-demo.mjs                                                     | JavaScript         |         85 |          0 |         12 |         97 |
| /Users/tau/Git/Hacks/auth-scope/demo/seed-demo.mjs                                                    | JavaScript         |        268 |          0 |         24 |        292 |
| /Users/tau/Git/Hacks/auth-scope/demo/videos/auth-scope-mission-authority-demo-2min-captions.md        | Markdown           |         36 |          0 |          3 |         39 |
| /Users/tau/Git/Hacks/auth-scope/docker-compose.yml                                                    | YAML               |         59 |          0 |          4 |         63 |
| /Users/tau/Git/Hacks/auth-scope/frontend/Dockerfile                                                   | Docker             |         12 |          0 |          3 |         15 |
| /Users/tau/Git/Hacks/auth-scope/frontend/IMPLEMENTATION_PLAN.md                                       | Markdown           |        559 |          0 |        136 |        695 |
| /Users/tau/Git/Hacks/auth-scope/frontend/README.md                                                    | Markdown           |         50 |          0 |         19 |         69 |
| /Users/tau/Git/Hacks/auth-scope/frontend/e2e/operator-console.spec.ts                                 | TypeScript         |         46 |          0 |          7 |         53 |
| /Users/tau/Git/Hacks/auth-scope/frontend/eslint.config.js                                             | JavaScript         |         26 |          0 |          2 |         28 |
| /Users/tau/Git/Hacks/auth-scope/frontend/index.html                                                   | HTML               |         14 |          0 |          1 |         15 |
| /Users/tau/Git/Hacks/auth-scope/frontend/nginx.conf                                                   | Properties         |         30 |          0 |          6 |         36 |
| /Users/tau/Git/Hacks/auth-scope/frontend/package.json                                                 | JSON               |         56 |          0 |          1 |         57 |
| /Users/tau/Git/Hacks/auth-scope/frontend/playwright.config.ts                                         | TypeScript         |         21 |          0 |          2 |         23 |
| /Users/tau/Git/Hacks/auth-scope/frontend/pnpm-lock.yaml                                               | YAML               |      3,253 |          0 |        858 |      4,111 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/app/App.test.tsx                                         | TypeScript JSX     |         95 |          0 |         15 |        110 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/app/App.tsx                                              | TypeScript JSX     |         33 |          0 |          4 |         37 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/app/AppShell.tsx                                         | TypeScript JSX     |         65 |          0 |          4 |         69 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/app/router.tsx                                           | TypeScript JSX     |         46 |          0 |          7 |         53 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/app/styles.css                                           | PostCSS            |        393 |          0 |         20 |        413 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/app/workflows.test.tsx                                   | TypeScript JSX     |        400 |          0 |         35 |        435 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/features/agents/AgentDetailPage.tsx                      | TypeScript JSX     |         34 |          0 |          2 |         36 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/features/agents/AgentsPage.tsx                           | TypeScript JSX     |         28 |          0 |          2 |         30 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/features/approvals/ApprovalsPage.tsx                     | TypeScript JSX     |         28 |          0 |          2 |         30 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/features/approvals/ExpansionReviewPage.tsx               | TypeScript JSX     |         50 |          0 |          2 |         52 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/features/approvals/ProposalReviewPage.tsx                | TypeScript JSX     |         47 |          0 |          2 |         49 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/features/audit/AuditPage.tsx                             | TypeScript JSX     |         15 |          0 |          2 |         17 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/features/connection/ConnectionPage.tsx                   | TypeScript JSX     |         52 |          0 |          4 |         56 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/features/containment/ContainmentDetailPage.tsx           | TypeScript JSX     |         34 |          0 |          2 |         36 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/features/containment/ContainmentPage.tsx                 | TypeScript JSX     |         18 |          0 |          2 |         20 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/features/dashboard/DashboardPage.tsx                     | TypeScript JSX     |         72 |          0 |          7 |         79 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/features/governance/GovernancePage.tsx                   | TypeScript JSX     |        118 |          0 |          8 |        126 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/features/missions/MissionDetailPage.tsx                  | TypeScript JSX     |         60 |          0 |          3 |         63 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/features/missions/MissionsPage.tsx                       | TypeScript JSX     |         40 |          0 |          3 |         43 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/features/missions/NewProposalPage.tsx                    | TypeScript JSX     |         89 |          0 |          5 |         94 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/features/projections/ProjectionsPage.tsx                 | TypeScript JSX     |         26 |          0 |          2 |         28 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/features/workbench/WorkbenchPage.tsx                     | TypeScript JSX     |         12 |          0 |          2 |         14 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/main.tsx                                                 | TypeScript JSX     |         10 |          0 |          2 |         12 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/shared/api/client.test.ts                                | TypeScript         |         63 |          0 |          8 |         71 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/shared/api/client.ts                                     | TypeScript         |        201 |          0 |         37 |        238 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/shared/api/generated.ts                                  | TypeScript         |      2,541 |         73 |          2 |      2,616 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/shared/api/types.ts                                      | TypeScript         |        257 |          0 |         27 |        284 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/shared/auth/SessionProvider.test.tsx                     | TypeScript JSX     |         32 |          0 |          5 |         37 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/shared/auth/SessionProvider.tsx                          | TypeScript JSX     |         52 |          0 |          8 |         60 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/shared/components/AsyncState.tsx                         | TypeScript JSX     |         20 |          0 |          3 |         23 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/shared/components/AuthorityView.tsx                      | TypeScript JSX     |         30 |          0 |          2 |         32 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/shared/components/ConfirmDialog.tsx                      | TypeScript JSX     |         63 |          0 |          5 |         68 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/shared/components/DataTable.tsx                          | TypeScript JSX     |         43 |          0 |          2 |         45 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/shared/components/JsonBlock.tsx                          | TypeScript JSX     |         17 |          0 |          2 |         19 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/shared/components/LineageGraph.tsx                       | TypeScript JSX     |         40 |          0 |          3 |         43 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/shared/components/PageHeader.tsx                         | TypeScript JSX     |         18 |          0 |          2 |         20 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/shared/components/StatusBadge.tsx                        | TypeScript JSX     |         31 |          0 |          3 |         34 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/shared/components/components.test.tsx                    | TypeScript JSX     |         76 |          0 |          8 |         84 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/shared/formatting/index.test.ts                          | TypeScript         |         24 |          0 |          4 |         28 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/shared/formatting/index.ts                               | TypeScript         |         18 |          0 |          5 |         23 |
| /Users/tau/Git/Hacks/auth-scope/frontend/src/testing/setup.ts                                         | TypeScript         |         29 |          0 |          8 |         37 |
| /Users/tau/Git/Hacks/auth-scope/frontend/tsconfig.app.json                                            | JSON               |         22 |          0 |          1 |         23 |
| /Users/tau/Git/Hacks/auth-scope/frontend/tsconfig.json                                                | JSON with Comments |          7 |          0 |          1 |          8 |
| /Users/tau/Git/Hacks/auth-scope/frontend/tsconfig.node.json                                           | JSON               |         12 |          0 |          1 |         13 |
| /Users/tau/Git/Hacks/auth-scope/frontend/vite.config.ts                                               | TypeScript         |         19 |          0 |          2 |         21 |
| /Users/tau/Git/Hacks/auth-scope/frontend/vitest.config.ts                                             | TypeScript         |         23 |          0 |          2 |         25 |
| /Users/tau/Git/Hacks/auth-scope/go.mod                                                                | XML                |          4 |          0 |          4 |          8 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/admin_auth.go                                        | Go                 |        158 |          0 |         21 |        179 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/admin_auth_test.go                                   | Go                 |        100 |          0 |         11 |        111 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/advanced_governance.go                               | Go                 |        144 |          0 |         21 |        165 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/advanced_governance_service.go                       | Go                 |        537 |          0 |         27 |        564 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/advanced_governance_test.go                          | Go                 |        230 |          0 |         17 |        247 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/agent_identity.go                                    | Go                 |         98 |          0 |         14 |        112 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/agent_service.go                                     | Go                 |        133 |          0 |          9 |        142 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/authority_guard.go                                   | Go                 |         54 |          0 |         10 |         64 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/authzen.go                                           | Go                 |        138 |          0 |         14 |        152 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/decision_artifact.go                                 | Go                 |        109 |          0 |         12 |        121 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/e2e_test.go                                          | Go                 |        273 |          0 |         31 |        304 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/evaluator.go                                         | Go                 |        193 |          0 |         20 |        213 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/evaluator_test.go                                    | Go                 |        197 |          0 |         14 |        211 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/github.go                                            | Go                 |         30 |          0 |          8 |         38 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/github_http.go                                       | Go                 |         99 |          0 |          8 |        107 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/github_http_test.go                                  | Go                 |         89 |          0 |          8 |         97 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/github_service.go                                    | Go                 |        118 |          0 |         22 |        140 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/github_test.go                                       | Go                 |        166 |          0 |         11 |        177 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/governance.go                                        | Go                 |        107 |          0 |         15 |        122 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/governance_more_test.go                              | Go                 |        261 |          0 |         19 |        280 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/governance_read.go                                   | Go                 |        192 |          0 |         11 |        203 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/governance_service.go                                | Go                 |        386 |          0 |         25 |        411 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/governance_test.go                                   | Go                 |        171 |          0 |         14 |        185 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/grand_governance.go                                  | Go                 |         73 |          0 |         12 |         85 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/grand_governance_service.go                          | Go                 |        525 |          0 |         47 |        572 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/grand_governance_test.go                             | Go                 |        408 |          0 |         33 |        441 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/http.go                                              | Go                 |        979 |          0 |         63 |      1,042 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/http_contract_test.go                                | Go                 |         68 |          0 |          3 |         71 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/http_ports.go                                        | Go                 |         91 |          0 |         12 |        103 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/http_test.go                                         | Go                 |        553 |          0 |         65 |        618 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/integrations/github/helpers.go                       | Go                 |        259 |          0 |         21 |        280 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/integrations/github/service.go                       | Go                 |        374 |          0 |         27 |        401 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/integrations/github/types.go                         | Go                 |        133 |          0 |         16 |        149 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/integrations/okta/helpers.go                         | Go                 |        223 |          0 |         18 |        241 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/integrations/okta/helpers_test.go                    | Go                 |         62 |          0 |          5 |         67 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/integrations/okta/service.go                         | Go                 |        298 |          0 |         26 |        324 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/integrations/okta/types.go                           | Go                 |        127 |          0 |         16 |        143 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/okta.go                                              | Go                 |         20 |          0 |          6 |         26 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/okta_http.go                                         | Go                 |         65 |          0 |          6 |         71 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/okta_http_test.go                                    | Go                 |         77 |          0 |          7 |         84 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/okta_service.go                                      | Go                 |        108 |          0 |         19 |        127 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/okta_test.go                                         | Go                 |        124 |          0 |          8 |        132 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/operator.go                                          | Go                 |         35 |          0 |          6 |         41 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/operator_http.go                                     | Go                 |        182 |          0 |         15 |        197 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/operator_http_test.go                                | Go                 |        145 |          0 |         16 |        161 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/operator_service.go                                  | Go                 |        245 |          0 |         17 |        262 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/operator_test.go                                     | Go                 |        107 |          0 |         11 |        118 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/outbox_test.go                                       | Go                 |         61 |          0 |          9 |         70 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/ports.go                                             | Go                 |         84 |          0 |         15 |         99 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/runtime_config.go                                    | Go                 |         43 |          0 |          6 |         49 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/security_test.go                                     | Go                 |        396 |          0 |         42 |        438 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/service.go                                           | Go                 |        701 |          3 |         44 |        748 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/service_more_test.go                                 | Go                 |        270 |          0 |         30 |        300 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/service_test.go                                      | Go                 |        192 |          0 |         21 |        213 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/store.go                                             | Go                 |        756 |          2 |         65 |        823 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/store/governance_read.go                             | Go                 |        204 |          0 |         13 |        217 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/store/governance_read_test.go                        | Go                 |        136 |          0 |         19 |        155 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/001_initial_schema.down.sql         | MS SQL             |         11 |          1 |          2 |         14 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/001_initial_schema.up.sql           | MS SQL             |         44 |          0 |          4 |         48 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/002_outbox_table.down.sql           | MS SQL             |          1 |          1 |          1 |          3 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/002_outbox_table.up.sql             | MS SQL             |         10 |          0 |          2 |         12 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/003_outbox_processed_table.down.sql | MS SQL             |          1 |          1 |          1 |          3 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/003_outbox_processed_table.up.sql   | MS SQL             |          4 |          0 |          1 |          5 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/004_agent_identities.down.sql       | MS SQL             |          6 |          0 |          1 |          7 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/004_agent_identities.up.sql         | MS SQL             |         24 |          0 |          3 |         27 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/005_governance_controls.down.sql    | MS SQL             |          3 |          0 |          1 |          4 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/005_governance_controls.up.sql      | MS SQL             |         26 |          0 |          5 |         31 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/006_advanced_governance.down.sql    | MS SQL             |          4 |          0 |          1 |          5 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/006_advanced_governance.up.sql      | MS SQL             |         43 |          0 |          8 |         51 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/007_grand_governance.down.sql       | MS SQL             |          2 |          0 |          1 |          3 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/007_grand_governance.up.sql         | MS SQL             |         24 |          0 |          4 |         28 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/008_github_integrations.down.sql    | MS SQL             |          4 |          0 |          1 |          5 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/008_github_integrations.up.sql      | MS SQL             |         25 |          0 |          4 |         29 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/009_okta_integrations.down.sql      | MS SQL             |          4 |          0 |          1 |          5 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/store/migrations/009_okta_integrations.up.sql        | MS SQL             |         15 |          0 |          2 |         17 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/store/postgres.go                                    | Go                 |      1,719 |         63 |        250 |      2,032 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/store/postgres_test.go                               | Go                 |        265 |          0 |         24 |        289 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/store/postgres_unit_test.go                          | Go                 |      1,377 |          0 |        114 |      1,491 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/store_test.go                                        | Go                 |        458 |          0 |         30 |        488 |
| /Users/tau/Git/Hacks/auth-scope/internal/mission/types.go                                             | Go                 |        217 |          0 |         34 |        251 |
| /Users/tau/Git/Hacks/auth-scope/openapi/auth-scope-v1.yaml                                            | YAML               |      1,177 |          0 |          1 |      1,178 |
| /Users/tau/Git/Hacks/auth-scope/samples/README.md                                                     | Markdown           |          9 |          0 |          7 |         16 |
| /Users/tau/Git/Hacks/auth-scope/samples/governed-coding-agent-workbench/README.md                     | Markdown           |         34 |          0 |         14 |         48 |
| /Users/tau/Git/Hacks/auth-scope/samples/governed-coding-agent-workbench/app.js                        | JavaScript         |        467 |          0 |         41 |        508 |
| /Users/tau/Git/Hacks/auth-scope/samples/governed-coding-agent-workbench/index.html                    | HTML               |        144 |          0 |         12 |        156 |
| /Users/tau/Git/Hacks/auth-scope/samples/governed-coding-agent-workbench/styles.css                    | PostCSS            |        465 |          0 |         80 |        545 |
| Total                                                                                                 |                    |     30,196 |        145 |      3,487 |     33,828 |
+-------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
